identity,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
homosexual_gay_or_lesbian,2163,0.7729425972557684,0.7613246928370951,0.952580928627687
black,3079,0.7799691382526892,0.7483868191893717,0.9578066852105567
white,5018,0.8080581020851956,0.7651512205600339,0.9603657700990561
muslim,4209,0.8185936228307387,0.8020701981216247,0.9535555561433349
jewish,1512,0.8458632630283605,0.8471468189353333,0.9425674224349831
psychiatric_or_mental_illness,918,0.8565901842477665,0.8236657318658396,0.9533765856807441
male,8912,0.8824551949510898,0.8686321703369366,0.9463793655937193
female,10795,0.8849461462185618,0.8790934355913602,0.9430359202703239
christian,8163,0.8873066356105704,0.9119429833679558,0.9187839933543065
