identity,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
muslim,105,0.6859983429991716,0.6805462404053952,0.9366998577524892
black,95,0.7292110874200426,0.6978689231010302,0.9430477648786738
homosexual_gay_or_lesbian,56,0.7750000000000001,0.73997113997114,0.9190647482014388
white,127,0.8089133089133089,0.6700090360567814,0.9648322793678645
male,247,0.8737864077669903,0.8164931883287749,0.9419742986856791
christian,245,0.881243628950051,0.8657400170740798,0.9212468696454461
female,327,0.8846689895470383,0.8285249709639954,0.9417376442900369
psychiatric_or_mental_illness,31,0.9090909090909091,0.8084041438714934,0.9600686886276786
jewish,35,0.9479166666666666,0.815398665819568,0.9743589743589743
